neighborhood,area,construction_year,rooms_count,floor,total_floors_count,unit_per_floor,has_elevator,has_parking,has_warehouse,Price(Toman),Price(USD),created_at_date,created_at_shamsi
emamreza,115.0,1403.0,2.0,4,6,,True,True,True,5750000000.0,57500.0,2024-05-01,1403/02/12
faramarzabbasi,80.0,1387.0,2.0,3,,,False,True,False,3000000000.0,30000.0,2024-10-01,1403/07/10
farhang,169.0,1403.0,3.0,2,6,1,True,True,True,12990000000.0,129900.0,2024-06-01,1403/03/12
emamreza,170.0,1403.0,3.0,5,,,True,True,True,10000000000.0,100000.0,2024-07-01,1403/04/11
ghasemabad,110.0,1394.0,2.0,2,4,2,True,True,True,3500000000.0,35000.0,2024-06-01,1403/03/12
ghasemabad,60.0,1395.0,1.0,4,4,3,False,False,False,920000000.0,9200.0,2024-07-01,1403/04/11
honarestan,95.0,1392.0,2.0,5,3,3,True,True,True,2880000000.0,28800.0,2024-05-01,1403/02/12
elahiyehblvd,100.0,1403.0,2.0,1,4,2,True,True,True,2700000000.0,27000.0,2024-10-01,1403/07/10
north-tabars,75.0,1397.0,1.0,0,4,1,False,False,False,1170000000.0,11700.0,2024-07-01,1403/04/11
farhang,160.0,1403.0,3.0,3,,,True,True,True,8050000000.0,80500.0,2024-09-01,1403/06/11
elahiyehblvd,104.0,1396.0,3.0,4,4,1,True,True,True,3550000000.0,35500.0,2024-06-01,1403/03/12
haftetir,115.0,1388.0,2.0,3,4,3,True,True,True,5050000000.0,50500.0,2024-09-01,1403/06/11
ghasemabad,95.0,1386.0,2.0,3,,,False,True,True,2000000000.0,20000.0,2024-08-01,1403/05/11
elahiyehblvd,130.0,1403.0,3.0,2,5,3,True,True,True,3900000000.0,39000.0,2024-08-01,1403/05/11
bolvartoos,100.0,1390.0,2.0,1,2,2,False,True,True,1500000000.0,15000.0,2024-11-01,1403/08/11
north-shahid-mottahari,85.0,1396.0,2.0,3,11,5,True,False,True,2000000000.0,20000.0,2024-05-01,1403/02/12
ayatollah-ebadi,75.0,1386.0,2.0,3,,,False,True,True,2100000000.0,21000.0,2024-10-01,1403/07/10
north-shahid-mottahari,120.0,1382.0,2.0,2,3,1,False,False,True,3300000000.0,33000.0,2024-05-01,1403/02/12
hoseynabad,140.0,1402.0,3.0,5,6,3,True,True,True,4100000000.0,41000.0,2024-08-01,1403/05/11
ghasemabad,107.0,1397.0,2.0,1,,,True,True,True,2970000000.0,29700.0,2024-12-01,1403/09/11
bolvartoos,55.0,1403.0,1.0,0,,,False,False,True,690000000.0,6900.0,2024-10-01,1403/07/10
farhang,166.0,1397.0,3.0,3,5,1,True,True,True,9000000000.0,90000.0,2024-06-01,1403/03/12
ayatollah-khamenei,60.0,1389.0,2.0,3,,,False,True,False,3400000000.0,34000.0,2024-12-01,1403/09/11
daneshjoo,177.0,1402.0,3.0,5,,,True,True,True,7450000000.0,74500.0,2024-05-01,1403/02/12
eqbal,108.0,1394.0,2.0,3,,,True,True,True,4280000000.0,42800.0,2024-10-01,1403/07/10
ghasemabad,80.0,1390.0,2.0,1,,,False,True,True,2600000000.0,26000.0,2024-12-01,1403/09/11
sayyadshirazi,100.0,1390.0,2.0,2,,,False,True,True,3400000000.0,34000.0,2024-10-01,1403/07/10
bolvartoos,70.0,1402.0,1.0,3,,,False,False,True,1100000000.0,11000.0,2024-08-01,1403/05/11
vakilabad,156.0,1403.0,3.0,3,5,1,True,True,True,8200000000.0,82000.0,2024-05-01,1403/02/12
rezashahr,125.0,1403.0,2.0,2,,,True,True,True,7100000000.0,71000.0,2024-06-01,1403/03/12
sadjadshahr,325.0,1401.0,4.0,6,6,1,True,True,True,31500000000.0,315000.0,2024-06-01,1403/03/12
